Aaa Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry;
Acc.;;Accius;;Acc.;Acc;;;;;;;;;;@Book{Acc,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Acc.}, shortauthor = {Accius}, keywords = {ancient}, options = {antik},};@Book{Acc,author ={},  origtitle = { }, shorthand = {Acc.}, shortauthor = {Accius}, keywords = {ancient}, options = {antik},}
Ach. Tat.;;Achilleus Tatios;;Ach. Tat.;Ach_Tat;;;;;;;;;;@Book{Ach_Tat,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Ach. Tat.}, shortauthor = {Achilleus Tatios}, keywords = {ancient}, options = {antik},};@Book{Ach_Tat,author ={},  origtitle = { }, shorthand = {Ach. Tat.}, shortauthor = {Achilleus Tatios}, keywords = {ancient}, options = {antik},}
Aet.;;Aetios;;Aet.;Aet;;;;;;;;;;@Book{Aet,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aet.}, shortauthor = {Aetios}, keywords = {ancient}, options = {antik},};@Book{Aet,author ={},  origtitle = { }, shorthand = {Aet.}, shortauthor = {Aetios}, keywords = {ancient}, options = {antik},}
Aischyl.;Ag.;Aischylos;Agamemnon;Aischyl. Ag.;Aischyl_Ag;;;;;;;;;;@Book{Aischyl_Ag,author ={}, title ={Agamemnon}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Agamemnon}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Ag.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Ag,author ={},  origtitle = {Agamemnon }, shorthand = {Aischyl. Ag.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Choeph.;Aischylos;Choephoroi;Aischyl. Choeph.;Aischyl_Choeph;;;;;;;;;;@Book{Aischyl_Choeph,author ={}, title ={Choephoroi}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Choephoroi}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Choeph.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Choeph,author ={},  origtitle = {Choephoroi }, shorthand = {Aischyl. Choeph.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Eum.;Aischylos;Eumenides;Aischyl. Eum.;Aischyl_Eum;;;;;;;;;;@Book{Aischyl_Eum,author ={}, title ={Eumenides}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Eumenides}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Eum.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Eum,author ={},  origtitle = {Eumenides }, shorthand = {Aischyl. Eum.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Pers.;Aischylos;Persae;Aischyl. Pers.;Aischyl_Pers;;;;;;;;;;@Book{Aischyl_Pers,author ={}, title ={Persae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Persae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Pers.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Pers,author ={},  origtitle = {Persae }, shorthand = {Aischyl. Pers.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Prom.;Aischylos;Prometheus;Aischyl. Prom.;Aischyl_Prom;;;;;;;;;;@Book{Aischyl_Prom,author ={}, title ={Prometheus}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Prometheus}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Prom.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Prom,author ={},  origtitle = {Prometheus }, shorthand = {Aischyl. Prom.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Sept.;Aischylos;Septem adversus Thebas;Aischyl. Sept.;Aischyl_Sept;;;;;;;;;;@Book{Aischyl_Sept,author ={}, title ={Septem adversus Thebas}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Septem adversus Thebas}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Sept.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Sept,author ={},  origtitle = {Septem adversus Thebas }, shorthand = {Aischyl. Sept.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
Aischyl.;Suppl.;Aischylos;Supplices (Hiketides);Aischyl. Suppl.;Aischyl_Suppl;;;;;;;;;;@Book{Aischyl_Suppl,author ={}, title ={Supplices (Hiketides)}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Supplices (Hiketides)}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aischyl. Suppl.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},};@Book{Aischyl_Suppl,author ={},  origtitle = {Supplices (Hiketides) }, shorthand = {Aischyl. Suppl.}, shortauthor = {Aischylos}, keywords = {ancient}, options = {antik},}
