Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;publisher;location;keywords;options;series;shortseries
Acc.;;Accius;;Acc. ;Acc. ;;;;;;;;;;;;;;;
Ach. Tat.;;Achilleus Tatios;;Ach. Tat. ;Ach. Tat. ;;;;;;;;;;;;;;;
Papin.;;Aemilius Papinianus;;Papin. ;Papin. ;;;;;;;;;;;;;;;
Aet.;;Aetios;;Aet. ;Aet. ;;;;;;;;;;;;;;;
Aristeid.;;Ailios Aristeides;;Aristeid. ;Aristeid. ;;;;;;;;;;;;;;;
Aischyl.;Ag.;Aischylos;Agamemnon;Aischyl. Ag.;Aischyl. Ag.;;;;;;;;;;;;;;;
Aischyl.;Choeph.;Aischylos;Choephoroi;Aischyl. Choeph.;Aischyl. Choeph.;;;;;;;;;;;;;;;
Aischyl.;Eum.;Aischylos;Eumenides;Aischyl. Eum.;Aischyl. Eum.;;;;;;;;;;;;;;;
Aischyl.;Pers.;Aischylos;Persae;Aischyl. Pers.;Aischyl. Pers.;;;;;;;;;;;;;;;
Aischyl.;Prom.;Aischylos;Prometheus;Aischyl. Prom.;Aischyl. Prom.;;;;;;;;;;;;;;;
Aischyl.;Sept.;Aischylos;Septem adversus Thebas;Aischyl. Sept.;Aischyl. Sept.;;;;;;;;;;;;;;;
Aischyl.;Suppl.;Aischylos;Supplices (Hiketides);Aischyl. Suppl.;Aischyl. Suppl.;;;;;;;;;;;;;;;
Aisop.;;Aisopos;;Aisop. ;Aisop. ;;;;;;;;;;;;;;;
Alex. Aphr.;;Alexandros von Aphrodisias;;Alex. Aphr. ;Alex. Aphr. ;;;;;;;;;;;;;;;
Alk.;;Alkaios;;Alk. ;Alk. ;;;;;;;;;;;;;;;
Ambr.;epist.;Ambrosius;epistulae;Ambr. epist.;Ambr. epist.;;;;;;;;;;;;;;;
Ambr.;exc. Sat.;Ambrosius;de excessu fratris (Satyri);Ambr. exc. Sat.;Ambr. exc. Sat.;;;;;;;;;;;;;;;
Ambr.;obit.Theod.;Ambrosius;de obitu Theodosii;Ambr. obit.Theod.;Ambr. obit.Theod.;;;;;;;;;;;;;;;
Ambr.;obit.Valent.;Ambrosius;de obitu Valentiniani (iunioris);Ambr. obit.Valent.;Ambr. obit.Valent.;;;;;;;;;;;;;;;
Ambr.;off.;Ambrosius;de officiis magistrorum;Ambr. off.;Ambr. off.;;;;;;;;;;;;;;;
Ambr.;paenit.;Ambrosius;de paenitentia;Ambr. paenit.;Ambr. paenit.;;;;;;;;;;;;;;;
Amm.;;Ammianus Marcellinus;;Amm. ;Amm. ;;;;;;;;;;;;;;;
Anakr.;;Anakreon;;Anakr. ;Anakr. ;;;;;;;;;;;;;;;
Anaxag.;;Anaxagoras;;Anaxag. ;Anaxag. ;;;;;;;;;;;;;;;
Anaximand.;;Anaximandros;;Anaximand. ;Anaximand. ;;;;;;;;;;;;;;;
Anaximen.;;Anaximenes;;Anaximen. ;Anaximen. ;;;;;;;;;;;;;;;
And.;;Andokides;;And. ;And. ;;;;;;;;;;;;;;;
Anth. Plan.;;Anthologia Planudea;;Anth. Plan. ;Anth. Plan. ;;;;;;;;;;;;;;;
Antiph.;;Antiphon;;Antiph. ;Antiph. ;;;;;;;;;;;;;;;
Antisth.;;Antisthenes;;Antisth. ;Antisth. ;;;;;;;;;;;;;;;
Anth. Gr.;;Antologia Graeca;;Anth. Gr. ;Anth. Gr. ;;;;;;;;;;;;;;;
Anth. Lat.;;Antologia Latina;;Anth. Lat. ;Anth. Lat. ;;;;;;;;;;;;;;;
Anth. Pal.;;Antologia Palatina;;Anth. Pal. ;Anth. Pal. ;;;;;;;;;;;;;;;
Apk;;Apokalypse;;Apk ;Apk ;;;;;;;;;;;;;;;
Apollod.;bibl.;Apollodoros;bibliotheke;Apollod. bibl.;Apollod. bibl.;;;;;;;;;;;;;;;
Apollod.;epit.;Apollodoros;epitome;Apollod. epit.;Apollod. epit.;;;;;;;;;;;;;;;
