Author-abbrv	Title-abbrv	shortauthor	origtitle	shorthand	author	title	origlanguage	year	number	volume	translator	editor	publisher	location	keywords	options	series	shortseries
Acc.		Accius																
Ach. Tat.		Achilleus Tatios																
Aet.		Aetios																
Aischyl.	Ag.	Aischylos	Agamemnon															
Aischyl.	Choeph.	Aischylos	Choephoroi															
Aischyl.	Eum.	Aischylos	Eumenides															
Aischyl.	Pers.	Aischylos	Persae															
Aischyl.	Prom.	Aischylos	Prometheus															
Aischyl.	Sept.	Aischylos	Septem adversus Thebas															
Aischyl.	Suppl.	Aischylos	Supplices (Hiketides)															
Aisop.		Aisopos																
Alex. Aphr.		Alexandros von Aphrodisias																
Alk.		Alkaios																
Ambr.	epist.	Ambrosius	epistulae															
Ambr.	exc. Sat.	Ambrosius	de excessu fratris (Satyri)															
Ambr.	obit.Theod.	Ambrosius	de obitu Theodosii															
Ambr.	obit.Valent.	Ambrosius	de obitu Valentiniani (iunioris)															
Ambr.	off.	Ambrosius	de officiis magistrorum															
Ambr.	paenit.	Ambrosius	de paenitentia															
Amm.		Ammianus Marcellinus																
Anakr.		Anakreon																
Anaxag.		Anaxagoras																
Anaximand.		Anaximandros																
Anaximen.		Anaximenes																
And.		Andokides																
Anth. Gr.		Antologia Graeca																
Anth. Lat.		Antologia Latina																
Anth. Pal.		Antologia Palatina																
Anth. Plan.		Anthologia Planudea																
Antiph.		Antiphon																
Antisth.		Antisthenes																
Apg		Apostelgeschichte																
Apk		Apokalypse																
Apoll. Rhod.		Apollonios Rhodios																
Apollod.	bibl.	Apollodoros	bibliotheke															
Apollod.	epit.	Apollodoros	epitome															
Apul.	Flor.	Apuleius	florida															
Apul.	met.	Apuleius	 metamorphoses															
Arat.		Aratos																
Archil.		Archilochos																
Archim.		Archimedes																
Archyt.		Archytas																
Aristeid.		Ailios Aristeides																
Aristoph.	Ach.	Aristophanes	Acharnenses															
Aristoph.	Av.	Aristophanes	Aves (Ornithes)															
Aristoph.	Eccl.	Aristophanes	 Ecclesiazusae															
Aristoph.	Equ.	Aristophanes	Equites (Hippeis)															
Aristoph.	Lys.	Aristophanes	Lysistrata															
Aristoph.	Nub.	Aristophanes	Nubes (Nephelai)															
Aristoph.	Pax	Aristophanes	Pax (Eirene)															
Aristoph.	Plut.	Aristophanes	Plutus															
Aristoph.	Ran.	Aristophanes	Ranae (Batrachoi)															
Aristoph.	Thesm.	Aristophanes	Thesmophoriazusae															
Aristoph.	Vesp.	Aristophanes	Vespae (Sphekes)															
Aristot.	an.	Aristoteles	de anima (peri psyches)															
Aristot.	an post.	Aristoteles	analytica posteriora															
Aristot.	an pr.	Aristoteles	analytica priora															
Aristot.	Ath. pol.	Aristoteles	Athenaion politeia															
Aristot.	cael.	Aristoteles	de caelo															
Aristot.	col.	Aristoteles	de coloribus (περὶ χρωμάτων)															
Aristot.	cat.	Aristoteles	categoriae															
Aristot.	div.	Aristoteles	de divinatione (peri mantikes)															
Aristot.	Eth. Eud.	Aristoteles	 ethica Eudemia															
Aristot.	eth. Nic.	Aristoteles	ethica Nicomachea															
Aristot.	gen. an.	Aristoteles	de generatione animalium															
Aristot.	gen. corr.	Aristoteles	de generatione et corruptione															
Aristot.	hist.	Aristoteles	historia animalium															
Aristot.	m. mor.	Aristoteles	magna moralia															
Aristot.	metaph.	Aristoteles	metaphysica															
Aristot.	meteor.	Aristoteles	meteorologica															
Aristot.	mir.	Aristoteles	mirabilia															
Aristot.	mot. an.	Aristoteles	de motu animalium															
Aristot.	mund.	Aristoteles	de mundo (peri kosmu)															
Aristot.	oec.	Aristoteles	oeconomica															
Aristot.	part. an.	Aristoteles	de partibus animalium															
Aristot.	phgn.	Aristoteles	physiognomica															
Aristot.	phys.	Aristoteles	physica															
Aristot.	poet.	Aristoteles	poetica															
Aristot.	pol.	Aristoteles	politica															
Aristot.	probl.	Aristoteles	problemata															
Aristot.	rhet.	Aristoteles	rhetorica															
Aristot.	rhet. Alex.	Aristoteles	rhetorica ad Alexandrum															
Aristot.	sens.	Aristoteles	de sensu (περὶ αἰσθήσεως)															
Aristot.	somn.	Aristoteles	de somno et vigilia (περὶ ὔπνου καὶ ἐγρηγόρσεως)															
Aristot.	soph. el.	Aristoteles	sophistici elenchi															
Aristot.	spir.	Aristoteles	de spiritu															
Aristot.	top.	Aristoteles	topica															
Arnob.		Arnobius	adversus nationes															
Arr.	an.	Arrianos	Anabasis															
Arr.	cyn.	Arrianos	Cynegeticus															
Arr.	Ind.	Arrianos	Indica															
Arr.	per p. E.	Arrianos	Periplus ponti Euxeni															
